# start: [7.3738686  0.75035135]mm
# end: [ 7.3738686 19.7893869]mm
# mode: density_graph
# distance (mm),	plasma density (cm^-3)
0.000000000000000000e+00 nan
6.252051197899573254e-03 nan
1.250410239579914651e-02 nan
1.875615359369871976e-02 nan
2.500820479159829302e-02 nan
3.126025598949786627e-02 nan
3.751230718739743952e-02 nan
4.376435838529701278e-02 nan
5.001640958319658603e-02 nan
5.626846078109615928e-02 nan
6.252051197899573254e-02 nan
6.877256317689531273e-02 nan
7.502461437479487905e-02 nan
8.127666557269444536e-02 nan
8.752871677059402555e-02 nan
9.378076796849360575e-02 nan
1.000328191663931721e-01 nan
1.062848703642927384e-01 nan
1.125369215621923186e-01 nan
1.187889727600918988e-01 nan
1.250410239579914651e-01 nan
1.312930751558910314e-01 nan
1.375451263537906255e-01 nan
1.437971775516901918e-01 nan
1.500492287495897581e-01 nan
1.563012799474893244e-01 nan
1.625533311453888907e-01 nan
1.688053823432884848e-01 nan
1.750574335411880511e-01 nan
1.813094847390876174e-01 nan
1.875615359369872115e-01 nan
1.938135871348867778e-01 nan
2.000656383327863441e-01 nan
2.063176895306859104e-01 nan
2.125697407285854768e-01 nan
2.188217919264850708e-01 nan
2.250738431243846371e-01 nan
2.313258943222842035e-01 nan
2.375779455201837975e-01 nan
2.438299967180833638e-01 nan
2.500820479159829302e-01 nan
2.563340991138824965e-01 nan
2.625861503117820628e-01 nan
2.688382015096816291e-01 nan
2.750902527075812509e-01 nan
2.813423039054808172e-01 nan
2.875943551033803836e-01 nan
2.938464063012799499e-01 nan
3.000984574991795162e-01 nan
3.063505086970790825e-01 nan
3.126025598949786488e-01 nan
3.188546110928782151e-01 nan
3.251066622907777814e-01 nan
3.313587134886774033e-01 nan
3.376107646865769696e-01 nan
3.438628158844765359e-01 nan
3.501148670823761022e-01 nan
3.563669182802756685e-01 nan
3.626189694781752348e-01 nan
3.688710206760748012e-01 nan
3.751230718739744230e-01 nan
3.813751230718739893e-01 nan
3.876271742697735556e-01 nan
3.938792254676731219e-01 nan
4.001312766655726882e-01 nan
4.063833278634722546e-01 nan
4.126353790613718209e-01 nan
4.188874302592713872e-01 nan
4.251394814571709535e-01 nan
4.313915326550705753e-01 nan
4.376435838529701416e-01 nan
4.438956350508697080e-01 nan
4.501476862487692743e-01 nan
4.563997374466688406e-01 nan
4.626517886445684069e-01 nan
4.689038398424679732e-01 nan
4.751558910403675950e-01 nan
4.814079422382671614e-01 nan
4.876599934361667277e-01 nan
4.939120446340662940e-01 nan
5.001640958319658603e-01 nan
5.064161470298654821e-01 nan
5.126681982277649929e-01 nan
5.189202494256646148e-01 nan
5.251723006235641256e-01 nan
5.314243518214637474e-01 nan
5.376764030193632582e-01 nan
5.439284542172628800e-01 nan
5.501805054151625018e-01 nan
5.564325566130620127e-01 nan
5.626846078109616345e-01 nan
5.689366590088611453e-01 nan
5.751887102067607671e-01 nan
5.814407614046602779e-01 nan
5.876928126025598997e-01 nan
5.939448638004594105e-01 nan
6.001969149983590324e-01 nan
6.064489661962586542e-01 nan
6.127010173941581650e-01 nan
6.189530685920577868e-01 nan
6.252051197899572976e-01 nan
6.314571709878569195e-01 nan
6.377092221857564303e-01 nan
6.439612733836560521e-01 nan
6.502133245815555629e-01 nan
6.564653757794551847e-01 nan
6.627174269773548065e-01 nan
6.689694781752543173e-01 nan
6.752215293731539392e-01 nan
6.814735805710534500e-01 nan
6.877256317689530718e-01 nan
6.939776829668525826e-01 nan
7.002297341647522044e-01 nan
7.064817853626518263e-01 nan
7.127338365605513371e-01 8.029202229095429120e+17
7.189858877584509589e-01 8.019678091124875520e+17
7.252379389563504697e-01 8.013039004163938560e+17
7.314899901542500915e-01 8.009579959352619520e+17
7.377420413521496023e-01 8.006120912694758400e+17
