,EKSPLA diode,Faraday,4-frame 56A,4-frame 56B,Return Rogowski ROGA,Return Rogowski ROGB,,
-2112.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2111.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2110.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,0,-0.012
-2109.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,0,-0.012
-2108.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2107.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2106.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2105.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2104.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2103.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2102.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,0,-0.012
-2101.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2100.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2099.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2098.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,0,-0.012
-2097.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2096.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2095.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2094.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2093.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2092.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2091.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2090.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2089.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2088.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,0,-0.012
-2087.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2086.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2085.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2084.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2083.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2082.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2081.8,0,-0.053,0.125,-0.062,-0.094,-0.094,-0.016,-0.012
-2080.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2079.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2078.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-2077.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2076.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2075.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2074.8,0,-0.053,-0.25,-0.062,-0.094,-0.047,-0.016,-0.012
-2073.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2072.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2071.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2070.8,0,-0.1,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2069.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2068.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.012
-2067.8,0,-0.053,-0.062,-0.062,-0.094,-0.094,-0.016,-0.044
-2066.8,0,-0.053,-0.062,-0.25,-0.047,-0.047,0,0.019
-2065.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2064.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
-2063.8,0,-0.053,-0.25,-0.062,-0.094,-0.094,-0.016,-0.012
